# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.200000,0.998479,0.010364,-4.838641,-0.300569,3.267293,1.729701,0.696717,0.242626,-0.000941,3.203004,0.104869,-7.600875,4.336359,3.147413,1.395069,0.507855,0.699992,0.000128,-0.000010,-0.000313,0.000165,0.000105,0.000045,0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.810430,-1.841323,-4.078104,3.130207,2.637238,0.714154,0.152509,0.023949,0.591089,2.499695,-3.126242,-2.621172,1.132931,-0.028884,-0.113166,-0.057606,0.700015,0.000093,-0.000149,-0.000131,0.000183,0.000090,0.000034,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.308541,-3.006532,-1.506089,5.551402,-0.677290,-0.878710,-0.450133,-0.176878,0.946805,0.970437,-4.432456,-1.747713,1.994543,1.823297,0.893567,0.346294,0.700027,0.000024,-0.000176,0.000057,0.000106,0.000036,0.000010,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.309993,-2.972446,1.579913,4.576160,-1.403616,-0.948464,-0.426593,-0.159017,0.953448,-0.931988,-4.832756,0.739604,5.256525,1.974931,0.619682,0.175951,0.700025,-0.000036,-0.000113,0.000158,0.000003,-0.000017,-0.000012,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.807255,-1.844735,3.901558,2.996722,-2.483633,-1.550781,-0.676375,-0.247537,0.588742,-2.591061,-2.953379,5.843798,-1.099394,-1.260057,-0.618733,-0.236550,0.700015,-0.000063,-0.000020,0.000151,-0.000068,-0.000045,-0.000021,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-1.000683,-0.017798,4.961560,0.267421,-3.784085,-1.754523,-0.657068,-0.218178,-0.003060,-3.117712,0.171802,4.348016,-0.148341,-0.060972,-0.031249,-0.014503,0.700003,-0.000055,0.000050,0.000075,-0.000083,-0.000042,-0.000018,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.810301,1.862431,4.056234,-3.579005,-1.820187,-0.333993,-0.014410,0.020345,-0.585205,-2.532530,2.739285,4.199143,-1.572296,-1.520729,-0.754689,-0.294317,0.699994,-0.000029,0.000072,-0.000011,-0.000051,-0.000019,-0.000007,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.307218,2.994507,1.445057,-5.169919,0.347505,0.592488,0.316143,0.126632,-0.951601,-0.996979,4.739670,2.195782,-4.650105,-2.199834,-0.826608,-0.274369,0.699991,-0.000003,0.000051,-0.000061,-0.000003,0.000007,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.308894,2.968663,-1.517655,-4.597245,1.151018,0.934870,0.445156,0.170650,-0.952044,0.994271,4.743446,-2.551857,-1.558879,-0.302830,-0.032956,0.005691,0.699992,0.000010,0.000014,-0.000061,0.000032,0.000021,0.000008,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.807314,1.855175,-3.913138,-3.221702,2.896252,1.746300,0.748252,0.270820,-0.586460,2.533059,2.813221,-3.925046,-1.381955,-0.498658,-0.152742,-0.042550,0.699994,0.000009,-0.000013,-0.000025,0.000039,0.000019,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,1.001294,0.011524,-4.991576,-0.071294,3.618239,1.605173,0.586312,0.191475,-0.001101,3.138817,0.082680,-5.256895,0.203452,0.849050,0.493078,0.204823,0.699995,0.000003,-0.000017,0.000015,0.000021,0.000006,0.000001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.809708,-1.863826,-4.022204,3.569898,1.665646,0.317860,0.021306,-0.015016,0.588546,2.555403,-2.941494,-4.664150,3.541761,2.017834,0.834432,0.294402,0.699995,-0.000002,-0.000002,0.000034,-0.000008,-0.000008,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.307382,-2.988442,-1.454670,5.032127,-0.090671,-0.463872,-0.267199,-0.110394,0.951023,0.950321,-4.706530,-0.873613,2.250632,0.944882,0.342308,0.112622,0.699995,0.000001,0.000015,0.000023,-0.000028,-0.000016,-0.000007,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.308548,-2.973629,1.498581,4.725108,-1.239612,-1.028568,-0.491457,-0.188513,0.949764,-0.956838,-4.605983,1.365922,2.707605,1.358088,0.535079,0.183925,0.699996,0.000009,0.000021,-0.000007,-0.000028,-0.000011,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.807876,-1.856108,3.940791,3.232801,-3.051702,-1.785506,-0.754909,-0.271086,0.589888,-2.536703,-3.013880,4.171154,2.161979,0.375711,-0.006432,-0.036963,0.699999,0.000016,0.000009,-0.000035,-0.000009,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-1.001110,-0.005365,4.985283,-0.058729,-3.413067,-1.486072,-0.537253,-0.174284,-0.001060,-3.169556,0.037341,6.047922,-2.187656,-1.680284,-0.770921,-0.287738,0.700002,0.000015,-0.000014,-0.000041,0.000019,0.000014,0.000005,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.809214,1.859484,3.997959,-3.479332,-1.662133,-0.365074,-0.049990,0.002960,-0.589185,-2.513925,2.986199,3.486224,-1.928768,-0.915447,-0.353613,-0.120826,0.700004,0.000005,-0.000033,-0.000020,0.000037,0.000020,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,-0.308013,2.984945,1.481062,-4.962900,-0.126108,0.371438,0.235296,0.100527,-0.948036,-0.970876,4.532494,1.513686,-2.220246,-1.436462,-0.640689,-0.237806,0.700004,-0.000009,-0.000034,0.000019,0.000034,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.308448,2.981254,-1.490906,-4.871935,1.381178,1.141722,0.544041,0.208255,-0.952858,0.939888,4.775955,-0.952924,-4.384030,-1.892254,-0.668781,-0.211921,0.700001,-0.000019,-0.000013,0.000052,0.000008,-0.000003,-0.000004,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
